"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5613","web test example","firefox","Thu Feb 13 11:01:06 PKT 2025","passed","Thu Feb 13 11:01:12 PKT 2025","Example Test Suite","example.spec.ts","",""
"","345","should verify API response","firefox","Thu Feb 13 11:01:05 PKT 2025","failed","Thu Feb 13 11:01:06 PKT 2025","Example Test Suite","example.spec.ts","",""
"","11440","should login successfully","webkit","Thu Feb 13 11:01:11 PKT 2025","failed","Thu Feb 13 11:01:23 PKT 2025","Example Test Suite","example.spec.ts","",""
"","1161","api test example","chromium","Thu Feb 13 11:01:04 PKT 2025","failed","Thu Feb 13 11:01:05 PKT 2025","Example Test Suite","example.spec.ts","",""
"","342","should verify API response","webkit","Thu Feb 13 11:01:12 PKT 2025","failed","Thu Feb 13 11:01:13 PKT 2025","Example Test Suite","example.spec.ts","",""
"","5612","web test example","webkit","Thu Feb 13 11:01:13 PKT 2025","passed","Thu Feb 13 11:01:19 PKT 2025","Example Test Suite","example.spec.ts","",""
"","9731","should login successfully","chromium","Thu Feb 13 11:01:04 PKT 2025","failed","Thu Feb 13 11:01:14 PKT 2025","Example Test Suite","example.spec.ts","",""
"","11303","should login successfully","firefox","Thu Feb 13 11:01:05 PKT 2025","failed","Thu Feb 13 11:01:16 PKT 2025","Example Test Suite","example.spec.ts","",""
"","38","api test example","firefox","Thu Feb 13 11:01:11 PKT 2025","failed","Thu Feb 13 11:01:11 PKT 2025","Example Test Suite","example.spec.ts","",""
"","6454","web test example","chromium","Thu Feb 13 11:01:04 PKT 2025","passed","Thu Feb 13 11:01:10 PKT 2025","Example Test Suite","example.spec.ts","",""
"","361","should verify API response","chromium","Thu Feb 13 11:01:04 PKT 2025","failed","Thu Feb 13 11:01:04 PKT 2025","Example Test Suite","example.spec.ts","",""
"","102","api test example","webkit","Thu Feb 13 11:01:14 PKT 2025","failed","Thu Feb 13 11:01:14 PKT 2025","Example Test Suite","example.spec.ts","",""
